"hgnc_symbol	ensembl_gene_id	gene_biotype"
"BCORP1	ENSG00000215580	transcribed_unprocessed_pseudogene"
"ENTHD1	ENSG00000176177	protein_coding"
"LIF	ENSG00000128342	protein_coding"
"KRT18P23	ENSG00000215333	processed_pseudogene"
"ACSS2	ENSG00000131069	protein_coding"
"PNPLA3	ENSG00000100344	protein_coding"
"LONRF1	ENSG00000154359	protein_coding"
"IGHV1OR21-1	ENSG00000277282	IG_V_gene"
"EFCAB6	ENSG00000186976	protein_coding"
"LINC01667	ENSG00000280081	transcribed_processed_pseudogene"
"MSRA	ENSG00000175806	protein_coding"
"TBC1D22A	ENSG00000054611	protein_coding"
"RPS3AP35	ENSG00000244289	processed_pseudogene"
"PEBP4	ENSG00000134020	protein_coding"
"OR6R2P	ENSG00000273484	unprocessed_pseudogene"
"PRSS55	ENSG00000184647	protein_coding"
"XKR5	ENSG00000275591	protein_coding"
"PRSS51	ENSG00000253649	protein_coding"
"MRO	ENSG00000134042	protein_coding"
"GFRA2	ENSG00000168546	protein_coding"
"DEFB115	ENSG00000215547	protein_coding"
"DLC1	ENSG00000164741	protein_coding"
"PHF21B	ENSG00000056487	protein_coding"
"TP53INP2	ENSG00000078804	protein_coding"
"ST8SIA3	ENSG00000177511	protein_coding"
"RNF152	ENSG00000176641	protein_coding"
"CCDC68	ENSG00000166510	protein_coding"
"RPLP0P11	ENSG00000239780	processed_pseudogene"
"CNN2P1	ENSG00000227201	processed_pseudogene"
"RPL3	ENSG00000100316	protein_coding"
"DEFA8P	ENSG00000223629	unprocessed_pseudogene"
"LINC03033	ENSG00000232774	lncRNA"
"RPL35P6	ENSG00000244018	processed_pseudogene"
"OR7E8P	ENSG00000177400	unprocessed_pseudogene"
"SGCZ	ENSG00000185053	protein_coding"
"LZTS1-AS1	ENSG00000253733	lncRNA"
"ADAMTS16	ENSG00000145536	protein_coding"
"MFHAS1	ENSG00000147324	protein_coding"
"PINX1	ENSG00000254093	protein_coding"
"CNOT7	ENSG00000198791	protein_coding"
"MRPL36	ENSG00000171421	protein_coding"
"FASTKD3	ENSG00000124279	protein_coding"
"GTSE1	ENSG00000075218	protein_coding"
"TXNL1	ENSG00000091164	protein_coding"
"ADCY2	ENSG00000078295	protein_coding"
"EGR3	ENSG00000179388	protein_coding"
"EBF2	ENSG00000221818	protein_coding"
"IRX4	ENSG00000113430	protein_coding"
"VPS37A	ENSG00000155975	protein_coding"
"MRPS18CP6	ENSG00000228807	processed_pseudogene"
"LINC00229	ENSG00000234300	lncRNA"
"PRR5-ARHGAP8	ENSG00000248405	protein_coding"
"HMGB3P3	ENSG00000250730	processed_pseudogene"
"C8orf48	ENSG00000164743	protein_coding"
"SEMA5A	ENSG00000112902	protein_coding"
"STC1	ENSG00000159167	protein_coding"
"TRIM35	ENSG00000104228	protein_coding"
"MAK16	ENSG00000198042	protein_coding"
"MYO10	ENSG00000145555	protein_coding"
"LPL	ENSG00000175445	protein_coding"
"WNT7B	ENSG00000188064	protein_coding"
"HMBOX1	ENSG00000147421	protein_coding"
"ZBTB7C	ENSG00000184828	protein_coding"
"LINC01303	ENSG00000250548	lncRNA"
"DHX35-DT	ENSG00000261431	lncRNA"
"TTC38	ENSG00000075234	protein_coding"
"NAT2	ENSG00000156006	protein_coding"
"SOX7	ENSG00000171056	protein_coding"
"BOD1L2	ENSG00000228075	protein_coding"
"SLC18A1	ENSG00000036565	protein_coding"
"LINC01639	ENSG00000236117	lncRNA"
"SLC25A17	ENSG00000100372	protein_coding"
"HUNK	ENSG00000142149	protein_coding"
"FBXO15	ENSG00000141665	protein_coding"
"TOX2	ENSG00000124191	protein_coding"
"RPL36AP21	ENSG00000240785	transcribed_processed_pseudogene"
"RPL32P14	ENSG00000242654	processed_pseudogene"
"MED10	ENSG00000133398	protein_coding"
"HNRNPA3P16	ENSG00000267233	processed_pseudogene"
"MTRR	ENSG00000124275	protein_coding"
"KCNK15-AS1	ENSG00000244558	lncRNA"
"WDR7-OT1	ENSG00000267225	lncRNA"
"LINC00898	ENSG00000205634	lncRNA"
"FUT10	ENSG00000172728	protein_coding"
"TTLL12	ENSG00000100304	protein_coding"
"SEC11C	ENSG00000166562	protein_coding"
"PINX1	ENSG00000258724	protein_coding"
"UNC5D	ENSG00000156687	protein_coding"
"C5orf49	ENSG00000215217	protein_coding"
"HSPD1P1	ENSG00000213430	processed_pseudogene"
"CDH7	ENSG00000081138	protein_coding"
"ALG3P1	ENSG00000251568	processed_pseudogene"
"PRR5	ENSG00000186654	protein_coding"
"NUP155	ENSG00000113569	protein_coding"
"MRPL49P2	ENSG00000253934	processed_pseudogene"
"MSR1	ENSG00000038945	protein_coding"
"PLEKHD1	ENSG00000175985	protein_coding"
"DPYSL2	ENSG00000092964	protein_coding"
"FBXL7	ENSG00000183580	protein_coding"
"MC4R	ENSG00000166603	protein_coding"
"MARK2P5	ENSG00000248834	processed_pseudogene"
"FTH1P10	ENSG00000223361	transcribed_processed_pseudogene"
"TMX3	ENSG00000166479	protein_coding"
"ANKRD33B	ENSG00000164236	protein_coding"
"SPEF2	ENSG00000152582	protein_coding"
"DEFB1	ENSG00000164825	protein_coding"
"TOLLIP	ENSG00000078902	protein_coding"
"ADAM7-AS1	ENSG00000253535	lncRNA"
"SLC25A37	ENSG00000147454	protein_coding"
"ERI1	ENSG00000104626	protein_coding"
"KCNQ1OT1	ENSG00000269821	lncRNA"
"MBOAT4	ENSG00000177669	protein_coding"
"MUC5B	ENSG00000117983	protein_coding"
"DOCK5	ENSG00000147459	protein_coding"
"KCNB1	ENSG00000158445	protein_coding"
"BDP1P	ENSG00000264736	processed_pseudogene"
"HSPD1P15	ENSG00000249557	processed_pseudogene"
"MTHFD2P6	ENSG00000249266	processed_pseudogene"
"BRSK2	ENSG00000174672	protein_coding"
"RICTOR	ENSG00000164327	protein_coding"
"HMBOX1-IT1	ENSG00000259196	lncRNA"
"HMGB1P23	ENSG00000253770	processed_pseudogene"
"RPS3AP34	ENSG00000242607	processed_pseudogene"
"LEPROTL1	ENSG00000104660	protein_coding"
"RPL30P14	ENSG00000243256	processed_pseudogene"
"PPIAP10	ENSG00000224530	processed_pseudogene"
"PTPN2	ENSG00000175354	protein_coding"
"ADRA1A	ENSG00000120907	protein_coding"
"ASMTL-AS1	ENSG00000236017	lncRNA"
"DUSP26	ENSG00000133878	protein_coding"
"OR7E15P	ENSG00000254917	unprocessed_pseudogene"
"NKX3-1	ENSG00000167034	protein_coding"
"ATP6V1B2	ENSG00000147416	protein_coding"
"KCTD9	ENSG00000104756	protein_coding"
"RPL17P33	ENSG00000243844	processed_pseudogene"
"LOXL2	ENSG00000134013	protein_coding"
"RPS3AP49	ENSG00000242060	processed_pseudogene"
"BMP4	ENSG00000125378	protein_coding"
"PHLPP1	ENSG00000081913	protein_coding"
"LINC00589	ENSG00000251191	lncRNA"
"LZTS1	ENSG00000061337	protein_coding"
"CDCA2	ENSG00000184661	protein_coding"
"CDH19	ENSG00000071991	protein_coding"
"OR52B3P	ENSG00000175800	unitary_pseudogene"
"OR52P2P	ENSG00000171999	unitary_pseudogene"
"KCNQ1	ENSG00000053918	protein_coding"
"PLCXD3	ENSG00000182836	protein_coding"
"PAICSP4	ENSG00000254244	processed_pseudogene"
"RPL23P10	ENSG00000244708	processed_pseudogene"
"ZDHHC2	ENSG00000104219	protein_coding"
"LINC00683	ENSG00000266256	lncRNA"
"RPS2P6	ENSG00000214255	processed_pseudogene"
"SMIM21	ENSG00000206026	protein_coding"
"TRIM21	ENSG00000132109	protein_coding"
"ZNF215	ENSG00000149054	protein_coding"
"LINC01019	ENSG00000248118	lncRNA"
"VENTXP5	ENSG00000253569	processed_pseudogene"
"BNIP3L	ENSG00000104765	protein_coding"
"ZFR	ENSG00000056097	protein_coding"
"LINC02968	ENSG00000223511	lncRNA"
"GALNT18	ENSG00000110328	protein_coding"
"LINC00701	ENSG00000234556	lncRNA"
"AKR1C3	ENSG00000196139	protein_coding"
"KIF13B	ENSG00000197892	protein_coding"
"CALCB	ENSG00000175868	protein_coding"
"ZDHHC13	ENSG00000177054	protein_coding"
"ZBTB14	ENSG00000198081	protein_coding"
"GALR1	ENSG00000166573	protein_coding"
"LINC00705	ENSG00000225269	lncRNA"
"TUBAL3	ENSG00000178462	protein_coding"
"SLC38A9	ENSG00000177058	protein_coding"
"ADARB2	ENSG00000185736	protein_coding"
"LINC00708	ENSG00000232170	lncRNA"
"NAV2-AS3	ENSG00000254542	lncRNA"
"ZNF214	ENSG00000149050	protein_coding"
"INTS10	ENSG00000104613	protein_coding"
"SCML2P1	ENSG00000264127	processed_pseudogene"
"LINC00709	ENSG00000230014	lncRNA"
"ECHDC3	ENSG00000134463	protein_coding"
"MUC5AC	ENSG00000215182	protein_coding"
"SRPX	ENSG00000101955	protein_coding"
"CDC123	ENSG00000151465	protein_coding"
"RPL36AP40	ENSG00000240298	processed_pseudogene"
"SDHCP1	ENSG00000264444	processed_pseudogene"
"RBMXL2	ENSG00000170748	protein_coding"
"CBLN2	ENSG00000141668	protein_coding"
"DEFA6	ENSG00000164822	protein_coding"
"COX6B1P4	ENSG00000253813	processed_pseudogene"
"ANO3	ENSG00000134343	protein_coding"
"DCTN6	ENSG00000104671	protein_coding"
"PPP2R2A	ENSG00000221914	protein_coding"
"AKR1C5P	ENSG00000225418	unprocessed_pseudogene"
"UCN3	ENSG00000178473	protein_coding"
"KLF6	ENSG00000067082	protein_coding"
"CDH10	ENSG00000040731	protein_coding"
"LINC02582	ENSG00000261780	lncRNA"
"CNKSR2	ENSG00000149970	protein_coding"
"CSRP3	ENSG00000129170	protein_coding"
"MBP	ENSG00000197971	protein_coding"
"SYT9	ENSG00000170743	protein_coding"
"ANKH	ENSG00000154122	protein_coding"
"NAV2-AS4	ENSG00000254622	lncRNA"
"CHCHD3P1	ENSG00000236420	processed_pseudogene"
"HSP90AB7P	ENSG00000235838	processed_pseudogene"
"LINC00703	ENSG00000224382	lncRNA"
"SEC61A2	ENSG00000065665	protein_coding"
"CSNK2A3	ENSG00000254598	protein_coding"
"PPWD1	ENSG00000113593	protein_coding"
"FANCF	ENSG00000183161	protein_coding"
"MAP2K1P1	ENSG00000254013	processed_pseudogene"
"ENTPD4	ENSG00000197217	protein_coding"
"TRIM68	ENSG00000167333	protein_coding"
"ARL14EP	ENSG00000152219	protein_coding"
"SERGEF	ENSG00000129158	protein_coding"
"OR7E10P	ENSG00000254724	unprocessed_pseudogene"
"NNT-AS1	ENSG00000248092	lncRNA"
"FBXO4	ENSG00000151876	protein_coding"
"ITIH2	ENSG00000151655	protein_coding"
"NPR3	ENSG00000113389	protein_coding"
"ZNF516	ENSG00000101493	protein_coding"
"HNRNPA1P11	ENSG00000264315	processed_pseudogene"
"KRT18P8	ENSG00000264644	processed_pseudogene"
"PART1	ENSG00000152931	lncRNA"
"CAT	ENSG00000121691	protein_coding"
"GCNT1P2	ENSG00000249206	processed_pseudogene"
"FST	ENSG00000134363	protein_coding"
"NUDT5	ENSG00000165609	protein_coding"
"LINC00668	ENSG00000265933	lncRNA"
"UQCRBP3	ENSG00000249928	processed_pseudogene"
"MRPS30	ENSG00000112996	protein_coding"
"NUP50	ENSG00000093000	protein_coding"
"GHR	ENSG00000112964	protein_coding"
"NAV2-IT1	ENSG00000255270	lncRNA"
"EIF3M	ENSG00000149100	protein_coding"
"CCDC3	ENSG00000151468	protein_coding"
"DKKL1P1	ENSG00000215546	processed_pseudogene"
"KIN	ENSG00000151657	protein_coding"
"XKR6	ENSG00000171044	protein_coding"
"ZNF143	ENSG00000166478	protein_coding"
"LSM12P1	ENSG00000232024	processed_pseudogene"
"GNRH1	ENSG00000147437	protein_coding"
"RALY	ENSG00000125970	protein_coding"
"KRT8P37	ENSG00000213771	processed_pseudogene"
"UPF2	ENSG00000151461	protein_coding"
"ATXN10	ENSG00000130638	protein_coding"
"LINC01029	ENSG00000265843	lncRNA"
"PRPF19P1	ENSG00000264685	processed_pseudogene"
"SYNDIG1L	ENSG00000183379	protein_coding"
"CERK	ENSG00000100422	protein_coding"
"CDH9	ENSG00000113100	protein_coding"
"ACBD7	ENSG00000176244	protein_coding"
"RPP38	ENSG00000152464	protein_coding"
"ITIH5	ENSG00000123243	protein_coding"
"ADAMTS12	ENSG00000151388	protein_coding"
"OTC	ENSG00000036473	protein_coding"
"MRC1	ENSG00000260314	protein_coding"
"UGT3A1	ENSG00000145626	protein_coding"
"RPS15AP24	ENSG00000241511	processed_pseudogene"
"CDH18	ENSG00000145526	protein_coding"
"LINC00520	ENSG00000258791	lncRNA"
"RPL10P19	ENSG00000233609	transcribed_processed_pseudogene"
"LINC00678	ENSG00000254934	lncRNA"
"SH2D4A	ENSG00000104611	protein_coding"
"DBX1	ENSG00000109851	protein_coding"
"LINC01524	ENSG00000234948	lncRNA"
"BBOX1	ENSG00000129151	protein_coding"
"CUBN	ENSG00000107611	protein_coding"
"XKR4	ENSG00000206579	protein_coding"
"LUZP2	ENSG00000187398	protein_coding"
"RAI14	ENSG00000039560	protein_coding"
"LINC00160	ENSG00000230978	lncRNA"
"RP1L1	ENSG00000183638	protein_coding"
"PNMA2	ENSG00000240694	protein_coding"
"CBX3P1	ENSG00000177447	processed_pseudogene"
"AKAP6	ENSG00000151320	protein_coding"
"GPR158-AS1	ENSG00000233642	lncRNA"
"TRDMT1	ENSG00000107614	protein_coding"
"FAM83F	ENSG00000133477	protein_coding"
"PVALB	ENSG00000100362	protein_coding"
"CD226	ENSG00000150637	protein_coding"
"SYNGR1	ENSG00000100321	protein_coding"
"C1QL3	ENSG00000165985	protein_coding"
"NAV2-AS5	ENSG00000255043	lncRNA"
"RRAS2	ENSG00000133818	protein_coding"
"SEZ6L	ENSG00000100095	protein_coding"
"ARL2BPP1	ENSG00000265934	processed_pseudogene"
"PIGN	ENSG00000197563	protein_coding"
"ZNF33BP1	ENSG00000225192	processed_pseudogene"
"ARMC3	ENSG00000165309	protein_coding"
"SPON1	ENSG00000262655	protein_coding"
"HNRNPA3P9	ENSG00000270903	processed_pseudogene"
"BDNF-AS	ENSG00000245573	lncRNA"
"CYP7B1	ENSG00000172817	protein_coding"
"RPS24P13	ENSG00000233190	processed_pseudogene"
"PIP4K2A	ENSG00000150867	protein_coding"
"RNF122	ENSG00000133874	protein_coding"
"C10orf67	ENSG00000179133	protein_coding"
"RPS4XP11	ENSG00000234335	processed_pseudogene"
"AKR1C4	ENSG00000198610	protein_coding"
"TPO	ENSG00000115705	protein_coding"
"MALRD1	ENSG00000204740	protein_coding"
"CRISPLD1	ENSG00000121005	protein_coding"
"ST8SIA6	ENSG00000148488	protein_coding"
"CDH12	ENSG00000154162	protein_coding"
"MISP	ENSG00000099812	protein_coding"
"GAD2	ENSG00000136750	protein_coding"
"PDGFB	ENSG00000100311	protein_coding"
"RPL19P11	ENSG00000241668	processed_pseudogene"
"FGF10	ENSG00000070193	protein_coding"
"MPPED1	ENSG00000186732	protein_coding"
"PARVG	ENSG00000138964	protein_coding"
"C5orf34	ENSG00000172244	protein_coding"
"R3HCC1	ENSG00000104679	protein_coding"
"ABCA7	ENSG00000064687	protein_coding"
"LINC00603	ENSG00000250048	lncRNA"
"MKX	ENSG00000150051	protein_coding"
"NEFM	ENSG00000104722	protein_coding"
"ELOVL7	ENSG00000164181	protein_coding"
"PEX2	ENSG00000164751	protein_coding"
"PXDNL	ENSG00000147485	protein_coding"
"BIK	ENSG00000100290	protein_coding"
"SUCLG2P4	ENSG00000249226	processed_pseudogene"
"TTLL1	ENSG00000100271	protein_coding"
"ARID3A	ENSG00000116017	protein_coding"
"RPL3P9	ENSG00000240540	processed_pseudogene"
"VSTM2L	ENSG00000132821	protein_coding"
"TRAPPC12	ENSG00000171853	protein_coding"
"EIF2S2	ENSG00000125977	protein_coding"
"SBNO2	ENSG00000064932	protein_coding"
"CHEK2P5	ENSG00000234541	unprocessed_pseudogene"
"ITGA8	ENSG00000077943	protein_coding"
"MRPL9P1	ENSG00000254305	transcribed_processed_pseudogene"
"PKDREJ	ENSG00000130943	protein_coding"
"C8orf74	ENSG00000171060	protein_coding"
"AATBC	ENSG00000215458	lncRNA"
"CICP9	ENSG00000228882	processed_pseudogene"
"HNRNPRP1	ENSG00000223984	processed_pseudogene"
"ADI1	ENSG00000182551	protein_coding"
"DEPDC1B	ENSG00000035499	protein_coding"
"SLC39A12	ENSG00000148482	protein_coding"
"SCML2	ENSG00000102098	protein_coding"
"IGHV3-23	ENSG00000211949	IG_V_gene"
"C2CD4C	ENSG00000183186	protein_coding"
"ONECUT3	ENSG00000205922	protein_coding"
"GRIN3B	ENSG00000116032	protein_coding"
"LINC00840	ENSG00000226808	lncRNA"
"SVIP	ENSG00000198168	protein_coding"
"TRAPPC12-AS1	ENSG00000225234	lncRNA"
"FUNDC2P4	ENSG00000227009	processed_pseudogene"
"TSPO	ENSG00000100300	protein_coding"
"LINC02561	ENSG00000224034	lncRNA"
"SNTG2	ENSG00000172554	protein_coding"
"AMD1P1	ENSG00000228339	processed_pseudogene"
"ALG1L11P	ENSG00000249889	unprocessed_pseudogene"
"HEXB	ENSG00000049860	protein_coding"
"XKR9	ENSG00000221947	protein_coding"
"CNN2	ENSG00000064666	protein_coding"
"HMGB3P1	ENSG00000225336	processed_pseudogene"
"LINC00207	ENSG00000187012	lncRNA"
"LGR4	ENSG00000205213	protein_coding"
"DNAJB7	ENSG00000172404	protein_coding"
"PAG1	ENSG00000076641	protein_coding"
"JTBP1	ENSG00000233603	processed_pseudogene"
"VENTXP6	ENSG00000254105	processed_pseudogene"
"LINC00298	ENSG00000235665	lncRNA"
"RNASEH1	ENSG00000171865	protein_coding"
"LINC00899	ENSG00000231711	lncRNA"
"EFCAB6-AS1	ENSG00000223843	lncRNA"
"MYO3A	ENSG00000095777	protein_coding"
"FAM151B	ENSG00000152380	protein_coding"
"TMEM18	ENSG00000151353	protein_coding"
"XPNPEP3	ENSG00000196236	protein_coding"
"CCDC152	ENSG00000198865	protein_coding"
"RPS7	ENSG00000171863	protein_coding"
"TLE6	ENSG00000104953	protein_coding"
"PACSIN2	ENSG00000100266	protein_coding"
"MSGN1	ENSG00000151379	protein_coding"
"SMC6	ENSG00000163029	protein_coding"
"PALM	ENSG00000099864	protein_coding"
"TMEM167A	ENSG00000174695	protein_coding"
"NETO1	ENSG00000166342	protein_coding"
"RPSAP1	ENSG00000228820	processed_pseudogene"
"MSRB2	ENSG00000148450	protein_coding"
"PTF1A	ENSG00000168267	protein_coding"
"S1PR4	ENSG00000125910	protein_coding"
"VCAN	ENSG00000038427	protein_coding"
"NCLN	ENSG00000125912	protein_coding"
"PROSER2	ENSG00000148426	protein_coding"
"CNDP2	ENSG00000133313	protein_coding"
"HIRAP1	ENSG00000271563	processed_pseudogene"
"LINC00838	ENSG00000261683	lncRNA"
"ENKUR	ENSG00000151023	protein_coding"
"LINC01115	ENSG00000237667	lncRNA"
"RNA5SP494	ENSG00000222585	rRNA_pseudogene"
"MIR3619	ENSG00000266533	miRNA"
"SNORD83A	ENSG00000209482	snoRNA"
"MIR4766	ENSG00000266594	miRNA"
"RNU6-379P	ENSG00000200683	snRNA"
"HS1BP3-IT1	ENSG00000231948	lncRNA"
"IFITM8P	ENSG00000215096	processed_pseudogene"
"C8orf34	ENSG00000165084	protein_coding"
"COMMD9	ENSG00000110442	protein_coding"
"ASAP2	ENSG00000151693	protein_coding"
"PROSER2-AS1	ENSG00000225778	lncRNA"
"UBE2V2P1	ENSG00000226255	processed_pseudogene"
"MEOX2	ENSG00000106511	protein_coding"
"LINC00967	ENSG00000253138	lncRNA"
"APBA3	ENSG00000011132	protein_coding"
"CA3	ENSG00000164879	protein_coding"
"OXCT1	ENSG00000083720	protein_coding"
"PCNAP4	ENSG00000254544	processed_pseudogene"
"TJP3	ENSG00000105289	protein_coding"
"CCDC179	ENSG00000255359	protein_coding"
"ASPHD2	ENSG00000128203	protein_coding"
"RPS2P1	ENSG00000225246	processed_pseudogene"
"OR10V3P	ENSG00000254743	unprocessed_pseudogene"
"NTSR2	ENSG00000169006	protein_coding"
"PRMT3	ENSG00000185238	protein_coding"
"SRRD	ENSG00000100104	protein_coding"
"LINC01109	ENSG00000271167	lncRNA"
"LINC00954	ENSG00000228784	lncRNA"
"NUDT11	ENSG00000196368	protein_coding"
"HIGD1AP18	ENSG00000253952	processed_pseudogene"
"TFIP11	ENSG00000100109	protein_coding"
"BDKRB1	ENSG00000100739	protein_coding"
"APOB	ENSG00000084674	protein_coding"
"IGHV3-38	ENSG00000211958	IG_V_gene"
"RAD17P1	ENSG00000232400	processed_pseudogene"
"ASRGL1	ENSG00000162174	protein_coding"
"SUB1	ENSG00000113387	protein_coding"
"TWSG1	ENSG00000128791	protein_coding"
"MIR548J	ENSG00000221760	miRNA"
"HMGB1P10	ENSG00000213707	processed_pseudogene"
"CRYBB1	ENSG00000100122	protein_coding"
"CRYBA4	ENSG00000196431	protein_coding"
"DOK6	ENSG00000206052	protein_coding"
"RBP3	ENSG00000265203	protein_coding"
"ARHGAP12	ENSG00000165322	protein_coding"
"JSRP1	ENSG00000167476	protein_coding"
"TMPRSS6	ENSG00000187045	protein_coding"
"HADHA	ENSG00000084754	protein_coding"
"NFIC	ENSG00000141905	protein_coding"
"NFATC2	ENSG00000101096	protein_coding"
"CAPSL	ENSG00000152611	protein_coding"
"RPL29P12	ENSG00000224993	processed_pseudogene"
"TRAPPC13	ENSG00000113597	protein_coding"
"NFE2L3P1	ENSG00000267497	processed_pseudogene"
"RN7SKP72	ENSG00000199197	misc_RNA"
"RN7SL50P	ENSG00000242985	misc_RNA"
"RNU2-27P	ENSG00000251994	snRNA"
"RNU6-903P	ENSG00000212572	snRNA"
"RNU6-708P	ENSG00000206944	snRNA"
"RNA5SP458	ENSG00000251997	rRNA_pseudogene"
"RN7SL342P	ENSG00000239398	misc_RNA"
"RNU6-142P	ENSG00000206746	snRNA"
"RN7SL795P	ENSG00000239748	misc_RNA"
"RNU6-39P	ENSG00000207072	snRNA"
"RNA5SP461	ENSG00000252260	rRNA_pseudogene"
"RPL31P59	ENSG00000240364	processed_pseudogene"
"IGLJCOR18	ENSG00000265243	IG_C_pseudogene"
"DCDC2C	ENSG00000214866	protein_coding"
"SOX11	ENSG00000176887	protein_coding"
"RANBP3	ENSG00000031823	protein_coding"
"NPM1P48	ENSG00000231821	processed_pseudogene"
"SRD5A2	ENSG00000277893	protein_coding"
"OSR1	ENSG00000143867	protein_coding"
"LINC00276	ENSG00000230448	lncRNA"
"TTC32	ENSG00000183891	protein_coding"
"DPYSL5	ENSG00000157851	protein_coding"
"ARSB	ENSG00000113273	protein_coding"
"SYCP2	ENSG00000196074	protein_coding"
"CENPK	ENSG00000123219	protein_coding"
"YWHAZP3	ENSG00000229932	processed_pseudogene"
"PDE3B	ENSG00000152270	protein_coding"
"TGIF1	ENSG00000177426	protein_coding"
"CYTL1	ENSG00000170891	protein_coding"
"ADORA2A	ENSG00000128271	protein_coding"
"EFR3B	ENSG00000084710	protein_coding"
"IGHV1-24	ENSG00000211950	IG_V_gene"
"PKIA-AS1	ENSG00000254266	lncRNA"
"RPL31P40	ENSG00000253964	processed_pseudogene"
"CALB1	ENSG00000104327	protein_coding"
"DRD5	ENSG00000169676	protein_coding"
"TAF4B	ENSG00000141384	protein_coding"
"PDZD2	ENSG00000133401	protein_coding"
"NECAB1	ENSG00000123119	protein_coding"
"GNG7	ENSG00000176533	protein_coding"
"GNA15	ENSG00000060558	protein_coding"
"WWP1-AS1	ENSG00000254231	lncRNA"
"REXO1L8P	ENSG00000270971	processed_pseudogene"
"HNRNPA1P4	ENSG00000206228	processed_pseudogene"
"PMAIP1	ENSG00000141682	protein_coding"
"REXO1L1P	ENSG00000205176	transcribed_processed_pseudogene"
"ACTBP6	ENSG00000203413	processed_pseudogene"
"GEM	ENSG00000164949	protein_coding"
"GREB1	ENSG00000196208	protein_coding"
"SAFB	ENSG00000160633	protein_coding"
"EGFLAM-AS2	ENSG00000248572	lncRNA"
"CCNH	ENSG00000134480	protein_coding"
"ZBTB10	ENSG00000205189	protein_coding"
"MIOS-DT	ENSG00000272894	lncRNA"
"RPL36AP26	ENSG00000235828	processed_pseudogene"
"OR7E136P	ENSG00000205897	unprocessed_pseudogene"
"MMP16	ENSG00000156103	protein_coding"
"TTR	ENSG00000118271	protein_coding"
"TPM3P3	ENSG00000254195	processed_pseudogene"
"PSKH2	ENSG00000147613	protein_coding"
"FABP5	ENSG00000164687	protein_coding"
"GEN1	ENSG00000178295	protein_coding"
"NDUFB4P2	ENSG00000251306	processed_pseudogene"
"ZSWIM6	ENSG00000130449	protein_coding"
"E2F5-DT	ENSG00000260493	lncRNA"
"LINC01111	ENSG00000254300	lncRNA"
"RPL5P15	ENSG00000240412	processed_pseudogene"
"HAUS1P3	ENSG00000253226	processed_pseudogene"
"ITGA2	ENSG00000164171	protein_coding"
"VSNL1	ENSG00000163032	protein_coding"
"PLXDC2	ENSG00000120594	protein_coding"
"BCRP3	ENSG00000215481	lncRNA"
"ARL5AP4	ENSG00000224806	processed_pseudogene"
"CRIP1P4	ENSG00000182351	processed_pseudogene"
"IGHV1-18	ENSG00000211945	IG_V_gene"
"CYP1B1	ENSG00000138061	protein_coding"
"SLC5A12	ENSG00000148942	protein_coding"
"MAPK1	ENSG00000100030	protein_coding"
"PDP1	ENSG00000164951	protein_coding"
"TRPA1	ENSG00000104321	protein_coding"
"MIR4744	ENSG00000263849	miRNA"
